# P(k)  H0=0.71 Om0=0.267804 Ob0=0.0444356 Ol0=0.73 Sigma8=1 n_s=1
# k  P_E+H_wOsc(k)  P_E+H_noOsc(k)  P_this_simul(k) 
       0.673       147.454       144.375       147.454
       0.674       146.958       143.887       146.958
       0.675       146.465       143.401       146.465
       0.676       145.974       142.918       145.974
       0.677       145.486       142.437       145.486
       0.678           145       141.958           145
       0.679       144.516       141.482       144.516
        0.68       144.035       141.008       144.035
       0.681       143.555       140.536       143.555
       0.682       143.078       140.066       143.078
       0.683       142.603       139.598       142.603
       0.684       142.131       139.133       142.131
       0.685       141.661        138.67       141.661
       0.686       141.192       138.209       141.192
       0.687       140.727        137.75       140.727
       0.688       140.263       137.293       140.263
       0.689       139.801       136.838       139.801
        0.69       139.342       136.386       139.342
       0.691       138.885       135.935       138.885
       0.692        138.43       135.487        138.43
       0.693       137.977       135.041       137.977
       0.694       137.526       134.596       137.526
       0.695       137.077       134.154       137.077
       0.696        136.63       133.714        136.63
       0.697       136.185       133.276       136.185
       0.698       135.743        132.84       135.743
       0.699       135.302       132.406       135.302
         0.7       134.863       131.974       134.863
       0.701       134.427       131.544       134.427
       0.702       133.992       131.115       133.992
       0.703       133.559       130.689       133.559
       0.704       133.128       130.265       133.128
       0.705       132.699       129.843       132.699
       0.706       132.272       129.422       132.272
       0.707       131.847       129.004       131.847
       0.708       131.424       128.587       131.424
       0.709       131.003       128.172       131.003
        0.71       130.583       127.759       130.583
       0.711       130.165       127.348       130.165
       0.712        129.75       126.939        129.75
       0.713       129.336       126.532       129.336
       0.714       128.923       126.126       128.923
       0.715       128.513       125.723       128.513
       0.716       128.105       125.321       128.105
       0.717       127.698       124.921       127.698
       0.718       127.293       124.522       127.293
       0.719        126.89       124.126        126.89
        0.72       126.488       123.731       126.488
       0.721       126.089       123.338       126.089
       0.722       125.691       122.947       125.691
       0.723       125.295       122.558       125.295
       0.724       124.901        122.17       124.901
       0.725       124.509       121.784       124.509
       0.726       124.118       121.399       124.118
       0.727       123.729       121.017       123.729
       0.728       123.342       120.636       123.342
       0.729       122.956       120.257       122.956
        0.73       122.572       119.879       122.572
       0.731        122.19       119.503        122.19
       0.732        121.81       119.129        121.81
       0.733       121.431       118.756       121.431
       0.734       121.054       118.385       121.054
       0.735       120.679       118.016       120.679
       0.736       120.305       117.648       120.305
       0.737       119.933       117.282       119.933
       0.738       119.562       116.917       119.562
       0.739       119.193       116.554       119.193
        0.74       118.826       116.193       118.826
       0.741        118.46       115.833        118.46
       0.742       118.096       115.475       118.096
       0.743       117.733       115.118       117.733
       0.744       117.372       114.763       117.372
       0.745       117.013       114.409       117.013
       0.746       116.655       114.057       116.655
       0.747       116.298       113.707       116.298
       0.748       115.943       113.357       115.943
       0.749        115.59        113.01        115.59
        0.75       115.238       112.664       115.238
